id,publisher,title,"A: Summary, identifier","A: Summary, title","A: Summary, abstract","A: Summary, publisher","A: Summary, contactPoint","A: Summary, accessRights","A: Summary, group","A: Summary, attributes_with_errors","A: Summary, total_attributes","B: Business, description","B: Business, releaseDate","B: Business, accessRequestCost","B: Business, accessRequestDuration","B: Business, dataController","B: Business, dataProcessor","B: Business, license","B: Business, usageRestriction","B: Business, derivedDatasets","B: Business, linkedDataset","B: Business, attributes_with_errors","B: Business, total_attributes","C: Coverage & Detail, geographicCoverage","C: Coverage & Detail, periodicity","C: Coverage & Detail, datasetEndDate","C: Coverage & Detail, datasetStartDate","C: Coverage & Detail, jurisdiction","C: Coverage & Detail, populationType","C: Coverage & Detail, statisticalPopulation","C: Coverage & Detail, ageBand","C: Coverage & Detail, physicalSampleAvailability","C: Coverage & Detail, keywords","C: Coverage & Detail, attributes_with_errors","C: Coverage & Detail, total_attributes","D: Format & Structure, conformsTo","D: Format & Structure, controlledVocabulary","D: Format & Structure, language","D: Format & Structure, format","D: Format & Structure, fileSize","D: Format & Structure, attributes_with_errors","D: Format & Structure, total_attributes","E: Attribution, creator","E: Attribution, citations","E: Attribution, doi","E: Attribution, attributes_with_errors","E: Attribution, total_attributes","F: Technical Metadata, dataClassesCount","F: Technical Metadata, tableName","F: Technical Metadata, tableDescription","F: Technical Metadata, columnName","F: Technical Metadata, columnDescription","F: Technical Metadata, dataType","F: Technical Metadata, sensitive","F: Technical Metadata, attributes_with_errors","F: Technical Metadata, total_attributes",attributes_with_errors,total_attributes
0048a401-e54c-49d7-8afc-6c5390fb66b9,HUB > PIONEER,Acute care patients within the 100K Genome project,0,0,0,0,0,1,0,1,7,0,0,0,1,0,0,0,0,1,1,3,10,1,1,0,0,0,1,1,0,1,0,5,10,1,0,0,0,0,1,5,0,0,1,1,3,0,0,0,0,1,0,1,2,7,13,42
004d1932-f06e-49d2-b87a-e5e4140ffbb3,ALLIANCE > NIHR BIORESOURCE,Metabolite data,0,0,0,0,0,1,0,1,7,0,0,1,0,1,0,1,0,0,0,3,10,0,1,0,1,0,1,1,0,1,0,5,10,1,0,0,1,0,2,5,1,0,1,2,3,1,0,0,0,0,0,0,1,7,14,42
007e20d2-f883-47c2-abdc-481b574382b2,ALLIANCE > SAIL,Careers Wales dataset,0,0,0,0,0,0,0,0,7,0,0,0,1,0,0,1,0,0,1,3,10,1,1,0,0,1,1,1,0,1,0,6,10,0,0,0,0,0,0,5,0,0,0,0,3,0,0,0,0,0,0,1,1,7,10,42
0092dc60-a0af-4d45-801c-b888210d6609,ALLIANCE > HQIP,National Joint Registry - Primary Elbow Replacement dataset,0,0,0,0,0,0,0,0,7,0,0,1,0,1,0,1,0,0,0,3,10,0,1,0,1,0,1,1,0,1,0,5,10,1,0,0,1,0,2,5,1,0,1,2,3,1,0,0,0,0,0,0,1,7,13,42
009417f0-232a-4ebc-b12c-59c5352a49d3,ALLIANCE > SAIL,Referral to Treatment Times,0,0,0,0,0,0,0,0,7,0,0,0,1,0,0,0,0,0,1,2,10,1,1,0,0,0,0,0,1,0,0,3,10,0,1,0,0,0,1,5,0,0,0,0,3,1,0,0,0,0,0,1,2,7,8,42
014bc853-1b27-4d97-9e5e-97fe28b84769,ALLIANCE > DUNDEE,Tayside Pathology,0,0,0,0,0,0,0,0,7,0,0,1,0,1,0,1,0,0,0,3,10,0,1,0,1,1,1,1,0,1,1,7,10,1,0,1,1,0,3,5,1,0,1,2,3,1,0,0,0,0,0,0,1,7,16,42
0150353c-d33d-4af0-b177-8ef0adf867f4,HUB > BREATHE,Estimating Chronic Respiratory Disease burden in adults in Asian LMICs,0,0,0,0,0,1,0,1,7,0,0,1,0,0,0,0,0,0,0,1,10,1,1,0,0,0,0,1,0,1,0,4,10,0,0,1,1,0,2,5,0,0,1,1,3,1,0,0,0,0,0,0,1,7,10,42
0217114b-6847-4aae-9d76-4d52acea2bcc,ALLIANCE > HQIP,Paediatric Intensive Care Audit Network - core dataset (admission),0,0,0,0,0,1,0,1,7,0,0,1,0,1,0,1,0,0,0,3,10,0,1,0,1,0,1,1,0,1,0,5,10,1,0,0,1,0,2,5,1,0,1,2,3,1,0,0,0,0,0,0,1,7,14,42
0266f904-b168-488a-a9e7-d318443584ef,ALLIANCE > CPRD,HES Diagnostic Imaging Dataset for CPRD Aurum,0,0,0,0,0,1,0,1,7,0,0,0,1,1,1,0,0,0,0,3,10,1,1,0,0,0,0,1,1,1,0,5,10,1,0,0,1,0,2,5,0,0,1,1,3,0,0,1,0,0,0,1,2,7,14,42
0477b06f-cbed-4949-982e-ce248a47ed1a,Oxford University Hospitals NHS Foundation Trust,SOLUS,0,0,0,0,0,1,0,1,7,0,0,1,0,1,0,1,0,0,0,3,10,0,1,0,1,1,1,1,0,1,1,7,10,1,0,1,1,0,3,5,1,0,1,2,3,1,0,0,0,0,0,0,1,7,17,42
