completeness_percent,publisher,quality_score,pid,error_percent,id,weighted_error_percent,weighted_quality_rating,schema_version,title,quality_rating,weighted_quality_score,weighted_completeness_percent
4.76,,29.12,11dee486-22d2-4cf4-a955-512249e61645,46.51,0056a5c8-4f98-4e9e-b74a-bd498be71c0d,46.03,Not Rated,1.1.7,KPIC,Not Rated,29.36,4.76
19.05,,33.95,602cbc9b-0113-4712-8c4a-0efe8d86b77c,51.16,00a784aa-ea3a-4a57-9612-81b0745e0763,50.79,Not Rated,1.1.7,SARS-CoV-2 viral sequencing data (COG-UK data) - Lineage/Variant Data - Wales,Not Rated,41.27,33.33
19.05,,33.95,24de9d1a-1f48-4c10-b8fc-a3bd7449e191,51.16,00e1b694-3072-4d25-ab2d-a1de59629ae3,50.79,Not Rated,1.1.7,Mental Health Inpatient and Day Case - Scottish Morbidity Record (SMR04),Not Rated,41.27,33.33
50.0,ALLIANCE > HQIP,61.05,b0979e07-3331-408f-853b-5eeba80ce8f9,27.91,00ffee70-43d6-4a81-8568-32b0b6d9e39c,26.98,Not Rated,1.1.7,National Paediatric Diabetes Audit - Parent and Patient Recorded Experience measures,Not Rated,59.52,46.03
69.05,ALLIANCE > TISSUE DIRECTORY,75.22,19fa25a7-c15d-441c-b635-ad49043e7a96,18.6,0121c132-5be6-414e-853b-885ff301854f,17.46,Bronze,1.1.7,PTCL Biobank,Bronze,71.43,60.32
69.05,ALLIANCE > TISSUE DIRECTORY,76.38,399a6d67-7577-4476-a3b6-4bbceb5a8ff7,16.28,01470238-7a17-47a5-a131-17178ba26a0a,15.87,Bronze,1.1.7,Human Developmental Biology Resource (HDBR),Silver,72.22,60.32
19.05,,31.62,ea1aca1f-6ddb-44a0-b530-0645a26b2bee,55.81,01a5c44c-c2fd-4c1e-856e-9875ee1beafa,60.32,Not Rated,1.1.7,BathTAP Switching Cohort 2,Not Rated,36.5,33.33
19.05,,30.45,,58.14,01eb52c3-3f21-4e31-8b27-5e70327543b2,65.08,Not Rated,1.1.7,UK Biobank,Not Rated,34.12,33.33
69.05,ALLIANCE > TISSUE DIRECTORY,76.38,21044030-1cd5-46b1-b072-c9959fd330b4,16.28,0315886c-f34a-4f1d-8f76-2dfa80a6e949,15.87,Bronze,1.1.7,Cam-UroOnc Biorepository,Silver,72.22,60.32
28.57,ALLIANCE > UNIVERSITY HOSPITALS OF LEICESTER,48.0,4dfec37d-dd24-465f-85ea-30209aff3a26,32.56,039c0b29-63f6-4ce9-8d89-87012a52e44f,33.33,Not Rated,1.1.7,The Leicester City and County Chronic Kidney Disease Cohort,Not Rated,45.24,23.81
61.9,HUB > BREATHE,70.48,2f1244b8-7cbf-4fa3-8534-433efd769d48,20.93,03abf37c-41b2-4ff3-9c09-2cfea438526a,20.63,Bronze,1.1.7,"4 Country ChrOnic: estimating respiratory disease burden in adults, South India",Bronze,66.67,53.97
19.05,,32.78,becd2624-9a01-4f01-bcf8-56e94545a49a,53.49,03b7acd5-ecfe-4cd6-a6dc-bf9e3f98c772,55.56,Not Rated,1.1.7,National Asthma and COPD Audit (NACAP): Adult Asthma secondary care clinical,Not Rated,38.88,33.33
19.05,,32.78,1fb479b1-98d4-4d7b-91a2-8368ce3dc77c,53.49,03cdf92e-b6ea-4e1d-a861-e9da4372ed36,55.56,Not Rated,1.1.7,NIHR BioResource: Consent records,Not Rated,38.88,33.33
59.52,OTHER > UNIVERSITY COLLEGE LONDON,64.64,529f126b-660c-4c31-aeb2-765dac1d9df0,30.23,03fb3b18-4419-44f7-a035-9ddfecfcadfc,36.51,Not Rated,1.1.7,COVIDsortium,Not Rated,65.87,68.25
16.67,ALLIANCE > OXFORD UNIVERSITY HOSPITALS NHS TRUST,39.73,e653b264-3e44-4ed1-a376-86df45db7f72,37.21,0477b06f-cbed-4949-982e-ce248a47ed1a,36.51,Not Rated,1.1.7,SOLUS,Not Rated,38.89,14.29
92.86,HUB > DISCOVER NOW,87.13,ed08c844-343e-44fa-a02d-3ad5ecf25184,18.6,04f22c93-53df-440a-a71a-50d6827450bc,22.22,Gold,1.1.7,North West London COVID-19 Patient Level Situation Report (NWL COVID19 SITREP),Gold,87.31,96.83
19.05,,32.78,f2af20f9-af84-40ce-8a07-7d095948653e,53.49,04f28919-aa6c-4beb-b186-0ad0043c1c6c,55.56,Not Rated,1.1.7,NIHR IBD BioResource: Sample holding,Not Rated,38.88,33.33
26.19,ALLIANCE > HQIP,44.49,1982d9ef-890a-41ff-a86a-de61d65aaa09,37.21,04fb4aac-415b-4493-986b-65bbef5214d3,36.51,Not Rated,1.1.7,National Asthma and COPD Audit Programme (NACAP):COPD and adult asthma secondary care organisational dataset,Not Rated,42.86,22.22
95.24,ALLIANCE > SAIL,90.64,9f29d47e-4e9a-41b8-b7bc-5ef3570294ef,13.95,05716e41-9842-4c07-8ddd-af9f9231e056,15.87,Gold,1.1.7,Bowel Screening Wales,Gold,92.06,100.0
95.24,ALLIANCE > SAIL,89.48,dc22db56-8791-4e96-9ce6-6b6a58b1241f,16.28,05a0baf4-72ea-4e02-b4fb-64c37bb1eb0e,20.63,Gold,1.1.7,COVID-19 Shielded People list,Gold,89.69,100.0
69.05,ALLIANCE > TISSUE DIRECTORY,76.38,edd55990-a616-4a9c-a4a2-38af136a349b,16.28,0664f988-276e-4268-af43-1986a3101f38,15.87,Bronze,1.1.7,INCA Trial,Silver,72.22,60.32
69.05,ALLIANCE > TISSUE DIRECTORY,76.38,01492322-9b33-41cc-9f51-484024e45878,16.28,069c213c-eb04-463e-a300-7614c03cf623,15.87,Bronze,1.1.7,HCV Research UK,Silver,72.22,60.32
92.86,HUB > PIONEER,87.13,0eb789bb-0047-46ac-83ff-631f31e98da0,18.6,06dee089-8c10-4a8b-aa94-7cb699dc3c80,19.05,Gold,1.1.7,"OMOP dataset: Hospital COVID patients: severity, acuity, therapies, outcomes",Gold,89.68,98.41
16.67,ALLIANCE > OXFORD UNIVERSITY HOSPITALS NHS TRUST,39.73,5f45bcd1-970b-44ba-8ae2-0fb49b85ffa9,37.21,0711cc7e-80d5-4781-a1ab-2637ea176ceb,36.51,Not Rated,1.1.7,Millennium Clinical Events,Not Rated,38.89,14.29
80.95,HUB > BREATHE,84.66,bb8de9d2-cc38-4c40-b104-ffd167f64f76,11.63,0715a950-3999-46d8-a646-6496866638a1,12.7,Silver,1.1.7,Prospective Observation of Fibrosis in the Lung Clinical Endpoints,Silver,79.37,71.43
19.05,,33.95,602cbc9b-0113-4712-8c4a-0efe8d86b77c,51.16,077a21b9-5c5a-4c68-a9f0-b4fa3384aead,50.79,Not Rated,1.1.7,COVID-19 Sequence Data,Not Rated,41.27,33.33
19.05,,32.78,da91f0eb-1761-485b-8b7f-9121b6a1d004,53.49,0786f8b9-77b1-4bc4-8464-28c664298adb,55.56,Not Rated,1.1.7,Cancer Network Information System (CNIS / CANISC),Not Rated,38.88,33.33
76.19,HUB > PIONEER,75.31,323dc330-aad9-472a-b579-ab66f5f75906,25.58,07e3ac82-a38d-45f3-9933-07439f6a761d,25.4,Silver,1.1.7,The impact of COVID on hospitalised patients with COPD; a dataset in OMOP,Bronze,79.36,84.13
