title,publisher,id,errors,schema_error_count
Acute care patients within the 100K Genome project,HUB > PIONEER,0048a401-e54c-49d7-8afc-6c5390fb66b9,"[{'attribute': 'startDate', 'message': ""'startDate' is a required property""}, {'attribute': 'usageRestrictions', 'message': ""'usageRestrictions' is a required property""}, {'attribute': 'conformsTo', 'message': ""'conformsTo' is a required property""}, {'attribute': 'populationType', 'message': ""'populationType' is a required property""}, {'attribute': 'statisticalPopulation', 'message': ""'statisticalPopulation' is a required property""}, {'attribute': 'accessRequestDuration', 'message': ""accessRequestDuration: 'Yet to be decided' is not one of ['LESS 1 WEEK', '1-2 WEEKS', '2-4 WEEKS', '1-2 MONTHS', '2-6 MONTHS', 'MORE 6 MONTHS', 'VARIABLE', 'NOT APPLICABLE', 'OTHER']""}, {'attribute': 'accessRights', 'message': ""accessRights: 'Governance of the datasets is yet to be determined' is not valid under any of the given schemas"", 'suberrors': ""    type: 'Governance of the datasets is yet to be determined' is not of type 'array'""}, {'attribute': 'citations', 'message': ""citations: 'TBC' is not valid under any of the given schemas"", 'suberrors': ""    type: 'TBC' is not of type 'array'""}, {'attribute': 'doi', 'message': ""doi: 'Not Available' is not valid under any of the given schemas"", 'suberrors': ""    enum: 'Not Available' is not one of ['In Progress']""}, {'attribute': 'geographicCoverage', 'message': ""geographicCoverage: 'West Midlands Region, UK' is not a 'uri'""}]",10
Metabolite data,ALLIANCE > NIHR BIORESOURCE,004d1932-f06e-49d2-b87a-e5e4140ffbb3,"[{'attribute': 'geographicCoverage', 'message': ""'geographicCoverage' is a required property""}, {'attribute': 'ageBand', 'message': ""'ageBand' is a required property""}, {'attribute': 'physicalSampleAvailability', 'message': ""'physicalSampleAvailability' is a required property""}, {'attribute': 'periodicity', 'message': ""'periodicity' is a required property""}, {'attribute': 'startDate', 'message': ""'startDate' is a required property""}, {'attribute': 'usageRestrictions', 'message': ""'usageRestrictions' is a required property""}, {'attribute': 'license', 'message': ""'license' is a required property""}, {'attribute': 'creator', 'message': ""'creator' is a required property""}, {'attribute': 'accessRequestCost', 'message': ""'accessRequestCost' is a required property""}, {'attribute': 'dataController', 'message': ""'dataController' is a required property""}, {'attribute': 'conformsTo', 'message': ""'conformsTo' is a required property""}, {'attribute': 'format', 'message': ""'format' is a required property""}, {'attribute': 'populationType', 'message': ""'populationType' is a required property""}, {'attribute': 'statisticalPopulation', 'message': ""'statisticalPopulation' is a required property""}, {'attribute': 'accessRights', 'message': ""accessRights: 'Data is available via the Data Access process described at https://bioresource.nihr.ac.uk/researchers/researchers/application-process/' is not valid under any of the given schemas"", 'suberrors': ""    type: 'Data is available via the Data Access process described at https://bioresource.nihr.ac.uk/researchers/researchers/application-process/' is not of type 'array'""}]",15
Careers Wales dataset,ALLIANCE > SAIL,007e20d2-f883-47c2-abdc-481b574382b2,"[{'attribute': 'ageBand', 'message': ""'ageBand' is a required property""}, {'attribute': 'startDate', 'message': ""'startDate' is a required property""}, {'attribute': 'usageRestrictions', 'message': ""'usageRestrictions' is a required property""}, {'attribute': 'license', 'message': ""'license' is a required property""}, {'attribute': 'jurisdiction', 'message': ""'jurisdiction' is a required property""}, {'attribute': 'populationType', 'message': ""'populationType' is a required property""}, {'attribute': 'statisticalPopulation', 'message': ""'statisticalPopulation' is a required property""}, {'attribute': 'geographicCoverage', 'message': ""geographicCoverage: 'Wales' is not a 'uri'""}]",8
National Joint Registry - Primary Elbow Replacement dataset,ALLIANCE > HQIP,0092dc60-a0af-4d45-801c-b888210d6609,"[{'attribute': 'geographicCoverage', 'message': ""'geographicCoverage' is a required property""}, {'attribute': 'ageBand', 'message': ""'ageBand' is a required property""}, {'attribute': 'physicalSampleAvailability', 'message': ""'physicalSampleAvailability' is a required property""}, {'attribute': 'periodicity', 'message': ""'periodicity' is a required property""}, {'attribute': 'startDate', 'message': ""'startDate' is a required property""}, {'attribute': 'usageRestrictions', 'message': ""'usageRestrictions' is a required property""}, {'attribute': 'license', 'message': ""'license' is a required property""}, {'attribute': 'creator', 'message': ""'creator' is a required property""}, {'attribute': 'accessRequestCost', 'message': ""'accessRequestCost' is a required property""}, {'attribute': 'dataController', 'message': ""'dataController' is a required property""}, {'attribute': 'conformsTo', 'message': ""'conformsTo' is a required property""}, {'attribute': 'format', 'message': ""'format' is a required property""}, {'attribute': 'populationType', 'message': ""'populationType' is a required property""}, {'attribute': 'statisticalPopulation', 'message': ""'statisticalPopulation' is a required property""}]",14
Referral to Treatment Times,ALLIANCE > SAIL,009417f0-232a-4ebc-b12c-59c5352a49d3,"[{'attribute': 'startDate', 'message': ""'startDate' is a required property""}, {'attribute': 'usageRestrictions', 'message': ""'usageRestrictions' is a required property""}, {'attribute': 'accessRequestDuration', 'message': ""accessRequestDuration: 'Access request duration depends on scoping and the IGRP process. General estimate ~ 3 months.' is not one of ['LESS 1 WEEK', '1-2 WEEKS', '2-4 WEEKS', '1-2 MONTHS', '2-6 MONTHS', 'MORE 6 MONTHS', 'VARIABLE', 'NOT APPLICABLE', 'OTHER']""}, {'attribute': 'ageBand', 'message': ""ageBand: 'Any Age' does not match '^\\\\d{0,3}\\\\s?-\\\\s?\\\\d{0,3}\\\\+?$'""}, {'attribute': 'geographicCoverage', 'message': ""geographicCoverage: 'Wales' is not a 'uri'""}, {'attribute': 'periodicity', 'message': ""periodicity: 'Quarterly, March, June, September, December' is not one of ['STATIC', 'IRREGULAR', 'CONTINUOUS', 'BIENNIAL', 'ANNUAL', 'BIANNUAL', 'QUARTERLY', 'BIMONTHLY', 'MONTHLY', 'BIWEEKLY', 'WEEKLY', 'SEMIWEEKLY', 'DAILY', 'OTHER']""}]",6
Tayside Pathology,ALLIANCE > DUNDEE,014bc853-1b27-4d97-9e5e-97fe28b84769,"[{'attribute': 'description', 'message': ""'description' is a required property""}, {'attribute': 'geographicCoverage', 'message': ""'geographicCoverage' is a required property""}, {'attribute': 'ageBand', 'message': ""'ageBand' is a required property""}, {'attribute': 'physicalSampleAvailability', 'message': ""'physicalSampleAvailability' is a required property""}, {'attribute': 'periodicity', 'message': ""'periodicity' is a required property""}, {'attribute': 'startDate', 'message': ""'startDate' is a required property""}, {'attribute': 'usageRestrictions', 'message': ""'usageRestrictions' is a required property""}, {'attribute': 'license', 'message': ""'license' is a required property""}, {'attribute': 'creator', 'message': ""'creator' is a required property""}, {'attribute': 'accessRequestCost', 'message': ""'accessRequestCost' is a required property""}, {'attribute': 'dataController', 'message': ""'dataController' is a required property""}, {'attribute': 'jurisdiction', 'message': ""'jurisdiction' is a required property""}, {'attribute': 'keywords', 'message': ""'keywords' is a required property""}, {'attribute': 'conformsTo', 'message': ""'conformsTo' is a required property""}, {'attribute': 'language', 'message': ""'language' is a required property""}, {'attribute': 'format', 'message': ""'format' is a required property""}, {'attribute': 'populationType', 'message': ""'populationType' is a required property""}, {'attribute': 'statisticalPopulation', 'message': ""'statisticalPopulation' is a required property""}]",18
Estimating Chronic Respiratory Disease burden in adults in Asian LMICs,HUB > BREATHE,0150353c-d33d-4af0-b177-8ef0adf867f4,"[{'attribute': 'ageBand', 'message': ""'ageBand' is a required property""}, {'attribute': 'periodicity', 'message': ""'periodicity' is a required property""}, {'attribute': 'startDate', 'message': ""'startDate' is a required property""}, {'attribute': 'usageRestrictions', 'message': ""'usageRestrictions' is a required property""}, {'attribute': 'accessRequestCost', 'message': ""'accessRequestCost' is a required property""}, {'attribute': 'language', 'message': ""'language' is a required property""}, {'attribute': 'format', 'message': ""'format' is a required property""}, {'attribute': 'statisticalPopulation', 'message': ""'statisticalPopulation' is a required property""}, {'attribute': 'accessRights', 'message': ""accessRights: 'Access is managed on a project-by-project basis. Contact the RESPIRE team: https://www.ed.ac.uk/usher/respire/about/projects' is not valid under any of the given schemas"", 'suberrors': ""    type: 'Access is managed on a project-by-project basis. Contact the RESPIRE team: https://www.ed.ac.uk/usher/respire/about/projects' is not of type 'array'""}, {'attribute': 'geographicCoverage', 'message': ""geographicCoverage: 'Malaysia' is not a 'uri'""}]",10
Paediatric Intensive Care Audit Network - core dataset (admission),ALLIANCE > HQIP,0217114b-6847-4aae-9d76-4d52acea2bcc,"[{'attribute': 'geographicCoverage', 'message': ""'geographicCoverage' is a required property""}, {'attribute': 'ageBand', 'message': ""'ageBand' is a required property""}, {'attribute': 'physicalSampleAvailability', 'message': ""'physicalSampleAvailability' is a required property""}, {'attribute': 'periodicity', 'message': ""'periodicity' is a required property""}, {'attribute': 'startDate', 'message': ""'startDate' is a required property""}, {'attribute': 'usageRestrictions', 'message': ""'usageRestrictions' is a required property""}, {'attribute': 'license', 'message': ""'license' is a required property""}, {'attribute': 'creator', 'message': ""'creator' is a required property""}, {'attribute': 'accessRequestCost', 'message': ""'accessRequestCost' is a required property""}, {'attribute': 'dataController', 'message': ""'dataController' is a required property""}, {'attribute': 'conformsTo', 'message': ""'conformsTo' is a required property""}, {'attribute': 'format', 'message': ""'format' is a required property""}, {'attribute': 'populationType', 'message': ""'populationType' is a required property""}, {'attribute': 'statisticalPopulation', 'message': ""'statisticalPopulation' is a required property""}, {'attribute': 'accessRights', 'message': ""accessRights: 'https://www.hqip.org.uk/national-programmes/accessing-ncapop-data\\nhttps://www.picanet.org.uk/data-collection/data-requests/' is not valid under any of the given schemas"", 'suberrors': ""    type: 'https://www.hqip.org.uk/national-programmes/accessing-ncapop-data\\nhttps://www.picanet.org.uk/data-collection/data-requests/' is not of type 'array'""}]",15
HES Diagnostic Imaging Dataset for CPRD Aurum,ALLIANCE > CPRD,0266f904-b168-488a-a9e7-d318443584ef,"[{'attribute': 'physicalSampleAvailability', 'message': ""'physicalSampleAvailability' is a required property""}, {'attribute': 'startDate', 'message': ""'startDate' is a required property""}, {'attribute': 'usageRestrictions', 'message': ""'usageRestrictions' is a required property""}, {'attribute': 'format', 'message': ""'format' is a required property""}, {'attribute': 'statisticalPopulation', 'message': ""'statisticalPopulation' is a required property""}, {'attribute': 'accessRequestDuration', 'message': ""accessRequestDuration: 'https://cprd.com/Data-access' is not one of ['LESS 1 WEEK', '1-2 WEEKS', '2-4 WEEKS', '1-2 MONTHS', '2-6 MONTHS', 'MORE 6 MONTHS', 'VARIABLE', 'NOT APPLICABLE', 'OTHER']""}, {'attribute': 'accessRights', 'message': ""accessRights: 'Access to patient level data is dependent on approval of a study protocol by the Independent Scientific Advisory Committee (ISAC). All required linked data sources must be requested on the application form. Additionally, researchers who are first time users of a linked dataset must contact the CPRD Observational Research Team to discuss their requirements before submitting their application. Data are only provided by CPRD when part of a data extract is linked to CPRD Aurum.\\n\\nhttps://www.cprd.com/linked-data' is not valid under any of the given schemas"", 'suberrors': ""    type: 'Access to patient level data is dependent on approval of a study protocol by the Independent Scientific Advisory Committee (ISAC). All required linked data sources must be requested on the application form. Additionally, researchers who are first time users of a linked dataset must contact the CPRD Observational Research Team to discuss their requirements before submitting their application. Data are only provided by CPRD when part of a data extract is linked to CPRD Aurum.\\n\\nhttps://www.cprd.com/linked-data' is not of type 'array'""}, {'attribute': 'ageBand', 'message': ""ageBand: 'ALL' does not match '^\\\\d{0,3}\\\\s?-\\\\s?\\\\d{0,3}\\\\+?$'""}, {'attribute': 'geographicCoverage', 'message': ""geographicCoverage: 'England' is not a 'uri'""}, {'attribute': 'periodicity', 'message': ""periodicity: 'Quarterly' is not one of ['STATIC', 'IRREGULAR', 'CONTINUOUS', 'BIENNIAL', 'ANNUAL', 'BIANNUAL', 'QUARTERLY', 'BIMONTHLY', 'MONTHLY', 'BIWEEKLY', 'WEEKLY', 'SEMIWEEKLY', 'DAILY', 'OTHER']""}]",10
Hospital Episode Statistics Admitted Patient Care,HUBS > NHS DIGITRIALS,02961e24-4cb3-4cd3-90bd-4248a00391ce,"[{'attribute': 'ageBand', 'message': ""'ageBand' is a required property""}, {'attribute': 'startDate', 'message': ""'startDate' is a required property""}, {'attribute': 'usageRestrictions', 'message': ""'usageRestrictions' is a required property""}, {'attribute': 'conformsTo', 'message': ""'conformsTo' is a required property""}, {'attribute': 'format', 'message': ""'format' is a required property""}, {'attribute': 'populationType', 'message': ""'populationType' is a required property""}, {'attribute': 'statisticalPopulation', 'message': ""'statisticalPopulation' is a required property""}, {'attribute': 'accessRequestDuration', 'message': ""accessRequestDuration: 'Once we have accepted your application after its initial review, the application is subject to our service levels. We only pause the elapsed time when we require further detail, such as a more explicit articulation of the purpose, or when approvals are required from an external body (such as Approved Researcher status from ONS).  Our service response times, from the date that the application is accepted to the date that you sign the Agreement' is not one of ['LESS 1 WEEK', '1-2 WEEKS', '2-4 WEEKS', '1-2 MONTHS', '2-6 MONTHS', 'MORE 6 MONTHS', 'VARIABLE', 'NOT APPLICABLE', 'OTHER']""}, {'attribute': 'geographicCoverage', 'message': ""geographicCoverage: 'England' is not a 'uri'""}]",9
